Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
81,N/A (Chinese Line),"*   **定期债券 / 到期债券 (Term bonds)：** 定期债券全部在同一时间发行，并具有相同的到期日。短期公司债券的初始期限为 3 年或更短；中期为 4-10 年；长期为 10 年以上。例如，如果一家公司发行了价值 2,000 万美元的定期债券，它们都会在 30 年后到期。由于到期时需要支付巨额款项，大多数发行此类债券的公司都设有所谓的**偿债基金 (sinking fund)**。（下一段将详细介绍。）大多数公司发行定期债券是因为他们能够锁定一段固定时间的票面利率。","*   **定期债券 / 到期债券 （Term bonds）：** 定期债券全部在同一时间发行，并具有相同的到期日。短期公司债券的初始期限为 3 年或更短；中期为 4-10 年；长期为 10 年以上。例如，如果一家公司发行了价值 2,000 万美元的定期债券，它们都会在 30 年后到期。由于到期时需要支付巨额款项，大多数发行此类债券的公司都设有所谓的**偿债基金 （sinking fund）**。（下一段将详细介绍。）大多数公司发行定期债券是因为他们能够锁定一段固定时间的票面利率。",Punctuation/Format,术语对照表.md
84,N/A (Chinese Line),当公司为了偿还债务而逐步拨备资金时，它就创建了一个**偿债基金 (sinking fund)**。投资者乐于见到偿债基金的存在，因为它降低了**违约 (default)** 的可能性（即发行人在到期时无法支付利息或偿还面值的风险）。违约可能性由穆迪和标准普尔等信用评级服务机构确定；有关该话题的更多信息，请参阅本章后面的“考虑债券信用评级”。,当公司为了偿还债务而逐步拨备资金时，它就创建了一个**偿债基金 （sinking fund）**。投资者乐于见到偿债基金的存在，因为它降低了**违约 （default）** 的可能性（即发行人在到期时无法支付利息或偿还面值的风险）。违约可能性由穆迪和标准普尔等信用评级服务机构确定；有关该话题的更多信息，请参阅本章后面的“考虑债券信用评级”。,Punctuation/Format,术语对照表.md
87,N/A (Chinese Line),*   **系列债券 (Series bonds)：** 这些债券在连续的年份分批发行，但只有一个到期日。系列债券的发行人仅对目前为止已发行的债券支付利息。分阶段建设项目的建筑公司最有可能发行此类债券。系列债券的发行量少于定期债券和分期偿还债券。,*   **系列债券 （Series bonds）：** 这些债券在连续的年份分批发行，但只有一个到期日。系列债券的发行人仅对目前为止已发行的债券支付利息。分阶段建设项目的建筑公司最有可能发行此类债券。系列债券的发行量少于定期债券和分期偿还债券。,Punctuation/Format,术语对照表.md
89,N/A (Chinese Line),*   **分期偿还债券 (Serial bonds)：** 在此类债券发行中，流通债券的一部分按固定间隔到期。（例如每年有总发行量的 10% 到期。）分期偿还债券通常由公司和市政府发行，用于资助能产生定期收入流的项目。大多数市政（地方政府）债券是以分期偿还期限发行的。在最终到期日有更多债券到期的分期偿还债券被称为**气球式发行 (balloon issue)**。,*   **分期偿还债券 （Serial bonds）：** 在此类债券发行中，流通债券的一部分按固定间隔到期。（例如每年有总发行量的 10% 到期。）分期偿还债券通常由公司和市政府发行，用于资助能产生定期收入流的项目。大多数市政（地方政府）债券是以分期偿还期限发行的。在最终到期日有更多债券到期的分期偿还债券被称为**气球式发行 （balloon issue）**。,Punctuation/Format,术语对照表.md
102,N/A (Chinese Line),发行人的资产可能会也可能不会为债券提供担保。出于考试目的，假设由**抵押品 (collateral)**（发行人拥有的资产）担保的债券对投资者来说更安全。此类**有担保债券 (secured bonds)** 涉及发行人的承诺，即在违约的情况下，将出售特定资产（如房产）以偿还未偿债务。正如其名，无担保债券不涉及此类承诺。显然，在其他条件相同的情况下，有担保债券的收益率通常低于无担保债券。,发行人的资产可能会也可能不会为债券提供担保。出于考试目的，假设由**抵押品 （collateral）**（发行人拥有的资产）担保的债券对投资者来说更安全。此类**有担保债券 （secured bonds）** 涉及发行人的承诺，即在违约的情况下，将出售特定资产（如房产）以偿还未偿债务。正如其名，无担保债券不涉及此类承诺。显然，在其他条件相同的情况下，有担保债券的收益率通常低于无担保债券。,Punctuation/Format,术语对照表.md
108,N/A (Chinese Line),*   **抵押债券 (Mortgage bonds)：** 这些债券由发行人拥有的房产提供担保。在违约或破产的情况下，发行人必须变卖房产以偿还未偿债券。抵押债券可以是**开放式**或**封闭式**的。对于**开放式抵押债券**，发行人可以使用同一房产作为抵押借入更多资金。对于**封闭式抵押债券**，发行人不能再使用该房产作为抵押借入更多资金。,*   **抵押债券 （Mortgage bonds）：** 这些债券由发行人拥有的房产提供担保。在违约或破产的情况下，发行人必须变卖房产以偿还未偿债券。抵押债券可以是**开放式**或**封闭式**的。对于**开放式抵押债券**，发行人可以使用同一房产作为抵押借入更多资金。对于**封闭式抵押债券**，发行人不能再使用该房产作为抵押借入更多资金。,Punctuation/Format,术语对照表.md
110,N/A (Chinese Line),*   **设备信托 (Equipment trusts)：** 这些债券主要由运输公司发行，并由其拥有的设备（飞机、钻井平台、卡车等）提供担保。如果公司债券违约，受托人将出售担保债券的资产以清偿债务。,*   **设备信托 （Equipment trusts）：** 这些债券主要由运输公司发行，并由其拥有的设备（飞机、钻井平台、卡车等）提供担保。如果公司债券违约，受托人将出售担保债券的资产以清偿债务。,Punctuation/Format,术语对照表.md
112,N/A (Chinese Line),*   **抵押信托 (Collateral trusts)：** 这些债券由发行人拥有的金融资产（股票和债券）提供担保。受托人（发行人雇佣的金融机构）持有这些资产，并在违约时出售它们以偿还债券。,*   **抵押信托 （Collateral trusts）：** 这些债券由发行人拥有的金融资产（股票和债券）提供担保。受托人（发行人雇佣的金融机构）持有这些资产，并在违约时出售它们以偿还债券。,Punctuation/Format,术语对照表.md
114,N/A (Chinese Line),*   **担保债券 (Guaranteed bonds)：** 担保债券由原始发行人以外的公司（通常是母公司）提供担保。如果发行人违约，担保人将支付债券。因此，债券的评级与担保人的评级挂钩。,*   **担保债券 （Guaranteed bonds）：** 担保债券由原始发行人以外的公司（通常是母公司）提供担保。如果发行人违约，担保人将支付债券。因此，债券的评级与担保人的评级挂钩。,Punctuation/Format,术语对照表.md
117,N/A (Chinese Line),正如我之前暗示的，**无担保债券 (unsecured bonds)** 是有担保债券的反面：它们没有任何资产担保——仅凭发行人的信誉和信用。如果一家声誉良好且经营已久的公司发行债券，则这些债券被认为风险不大。如果是由于一家相对年轻或信用评级较差的公司发行，那您可得坐稳了！同样，就 SIE 考试而言，请假设无担保债券比有担保债券风险更高。以下是无担保债券的阵容：,正如我之前暗示的，**无担保债券 （unsecured bonds）** 是有担保债券的反面：它们没有任何资产担保——仅凭发行人的信誉和信用。如果一家声誉良好且经营已久的公司发行债券，则这些债券被认为风险不大。如果是由于一家相对年轻或信用评级较差的公司发行，那您可得坐稳了！同样，就 SIE 考试而言，请假设无担保债券比有担保债券风险更高。以下是无担保债券的阵容：,Punctuation/Format,术语对照表.md
120,N/A (Chinese Line),*   **无抵押信用债券 / 公司信托债券 (Debentures)：** 这些债券仅由发行人的承诺和书面协议（契约）担保，声明发行人将在到期时支付投资者利息（通常每半年一次），并在到期时支付面值。,*   **无抵押信用债券 / 公司信托债券 （Debentures）：** 这些债券仅由发行人的承诺和书面协议（契约）担保，声明发行人将在到期时支付投资者利息（通常每半年一次），并在到期时支付面值。,Punctuation/Format,术语对照表.md
122,N/A (Chinese Line),"*   **收益（调整）债券 (Income bonds)：** 这些债券是风险最高的。发行人承诺在到期时偿还面值，但仅在收入足够高时才会支付利息。处于重组过程中的公司通常以大幅折扣发行此类债券。（例如，债券可能以 500 美元出售，到期时按 1,000 美元面值偿还。）出于考试和现实目的，您不应向无法承担巨大风险的投资者推荐此类债券。","*   **收益（调整）债券 （Income bonds）：** 这些债券是风险最高的。发行人承诺在到期时偿还面值，但仅在收入足够高时才会支付利息。处于重组过程中的公司通常以大幅折扣发行此类债券。（例如，债券可能以 500 美元出售，到期时按 1,000 美元面值偿还。）出于考试和现实目的，您不应向无法承担巨大风险的投资者推荐此类债券。",Punctuation/Format,术语对照表.md
136,N/A (Chinese Line),(A) 抵押信托债券 (B) 抵押债券 (C) 设备信托债券 (D) 收益债券,（A） 抵押信托债券 （B） 抵押债券 （C） 设备信托债券 （D） 收益债券,Punctuation/Format,术语对照表.md
137,N/A (Chinese Line),您要找的答案是 (D)。这个问题包含很多您不需要的干扰信息。您的工作之一就是穿透问题并挑选出您确实需要的信息。最后一段话通常是回答问题的关键。Jon 追求的是安全性；因此，您最不可能推荐收益债券，因为它们通常由处于重组过程中的公司发行。顺便提一下，如果您成为 Jon 的经纪人，要确保他的投资组合中不全都是股票。在 62 岁这个年纪，Jon 应该将投资组合中相当一部分投资于债券等固定收益证券。,您要找的答案是 （D）。这个问题包含很多您不需要的干扰信息。您的工作之一就是穿透问题并挑选出您确实需要的信息。最后一段话通常是回答问题的关键。Jon 追求的是安全性；因此，您最不可能推荐收益债券，因为它们通常由处于重组过程中的公司发行。顺便提一下，如果您成为 Jon 的经纪人，要确保他的投资组合中不全都是股票。在 62 岁这个年纪，Jon 应该将投资组合中相当一部分投资于债券等固定收益证券。,Punctuation/Format,术语对照表.md
164,N/A (Chinese Line),顺便提一下，当投资者在付息日之间出售债券时，他们有权获得**应计利息 (accrued interest)**。假设这位投资者拥有一张每 6 个月支付 20 美元利息的债券。如果他们在两个付息日的中点出售该债券，他们有权在售价之外，从购买者那里获得 10 美元的利息。应计利息的计算（分解到每一天）不属于 SIE 考试的内容，但在 Series 7 等进阶考试中会有详细介绍。,顺便提一下，当投资者在付息日之间出售债券时，他们有权获得**应计利息 （accrued interest）**。假设这位投资者拥有一张每 6 个月支付 20 美元利息的债券。如果他们在两个付息日的中点出售该债券，他们有权在售价之外，从购买者那里获得 10 美元的利息。应计利息的计算（分解到每一天）不属于 SIE 考试的内容，但在 Series 7 等进阶考试中会有详细介绍。,Punctuation/Format,术语对照表.md
170,N/A (Chinese Line),"**名义收益率 (NY)** 是最容易理解的收益率，因为它是债券票面上的利率。出于考试目的，您可以假设在债券的整个有效期内，票面利率保持不变。如果您有一张 5% 的债券，该债券在有效期内每年将支付 50 美元的利息（5% × 1,000 美元面值）。当题目说某种证券是 5%（或 6% 或其他）债券时，给出的就是名义收益率。","**名义收益率 （NY）** 是最容易理解的收益率，因为它是债券票面上的利率。出于考试目的，您可以假设在债券的整个有效期内，票面利率保持不变。如果您有一张 5% 的债券，该债券在有效期内每年将支付 50 美元的利息（5% × 1,000 美元面值）。当题目说某种证券是 5%（或 6% 或其他）债券时，给出的就是名义收益率。",Punctuation/Format,术语对照表.md
176,N/A (Chinese Line),**当期收益率 (CY)** 是一种证券的年回报率。当市场价格发生变化时，债券的 CY 也会发生变化。您可以通过将年利息除以市场价格来确定 CY：,**当期收益率 （CY）** 是一种证券的年回报率。当市场价格发生变化时，债券的 CY 也会发生变化。您可以通过将年利息除以市场价格来确定 CY：,Punctuation/Format,术语对照表.md
179,N/A (Chinese Line),**当期收益率 (CY) = 年利息 / 市场价格**,**当期收益率 （CY） = 年利息 / 市场价格**,Punctuation/Format,术语对照表.md
190,N/A (Chinese Line),(A) 5.7% (B) 6.0% (C) 6.1% (D) 无法确定,（A） 5.7% （B） 6.0% （C） 6.1% （D） 无法确定,Punctuation/Format,术语对照表.md
191,N/A (Chinese Line),正确答案是 (C)。是的，我给您出的这个题目包含了很多不必要的信息。我只能说，遗憾的是，您必须习惯这一点。证券考试的出题人以在题目中插入无用（有时甚至是误导性）信息来使您头晕目眩而闻名。在这种情况下，您只需要年利息和市场价格就能算出答案。使用以下公式得出答案：,正确答案是 （C）。是的，我给您出的这个题目包含了很多不必要的信息。我只能说，遗憾的是，您必须习惯这一点。证券考试的出题人以在题目中插入无用（有时甚至是误导性）信息来使您头晕目眩而闻名。在这种情况下，您只需要年利息和市场价格就能算出答案。使用以下公式得出答案：,Punctuation/Format,术语对照表.md
193,N/A (Chinese Line),"年利息为 60 美元（6% 票面利率 × 1,000 美元面值），当前市场价格为 980 美元（面值 1,000 美元的 98%）。至于该债券是可转换的（债券持有人可以将其兑换为普通股；见本章后面的“拆解可转换债券”）还是抵押债券（由发行人的房产担保），以及它是以 105 (1,050 美元) 购买的，这些事实都是无关紧要的。","年利息为 60 美元（6% 票面利率 × 1,000 美元面值），当前市场价格为 980 美元（面值 1,000 美元的 98%）。至于该债券是可转换的（债券持有人可以将其兑换为普通股；见本章后面的“拆解可转换债券”）还是抵押债券（由发行人的房产担保），以及它是以 105 （1,050 美元） 购买的，这些事实都是无关紧要的。",Punctuation/Format,术语对照表.md
204,N/A (Chinese Line),**到期收益率 (YTM)** 是投资者持有债券直至到期时可以预期的收益率。YTM 不仅考虑了市场价格，还考虑了面值、票面利率以及距离到期的时间。当有人冲您喊道：“嘿，那张债券的收益率是多少？”（好吧，也许我的朋友圈比较特别），他们问的就是 YTM。YTM 的公式如下：,**到期收益率 （YTM）** 是投资者持有债券直至到期时可以预期的收益率。YTM 不仅考虑了市场价格，还考虑了面值、票面利率以及距离到期的时间。当有人冲您喊道：“嘿，那张债券的收益率是多少？”（好吧，也许我的朋友圈比较特别），他们问的就是 YTM。YTM 的公式如下：,Punctuation/Format,术语对照表.md
207,N/A (Chinese Line),**YTM = (年利息 + 年度折价摊销 或 – 年度溢价摊销) / [(市场价格 + 面值) / 2]**,**YTM = （年利息 + 年度折价摊销 或 – 年度溢价摊销） / [（市场价格 + 面值） / 2]**,Punctuation/Format,术语对照表.md
210,N/A (Chinese Line),**年度折价摊销 = (面值 – 市场价格) / 到期年数**,**年度折价摊销 = （面值 – 市场价格） / 到期年数**,Punctuation/Format,术语对照表.md
213,N/A (Chinese Line),**年度溢价摊销 = (市场价格 – 面值) / 到期年数**,**年度溢价摊销 = （市场价格 – 面值） / 到期年数**,Punctuation/Format,术语对照表.md
221,N/A (Chinese Line),折价摊销 (Accretion) 和溢价摊销 (Amortization)（即在债券到期前，将债券价格向面值方向进行的调整），如上述等式所示，在 SIE 考试中并不考查，但您需要在某些进阶考试中学会计算它们。（**折价摊销**用于以低于面值的价格购买债券时，**溢价摊销**用于以高于面值的价格购买债券时。）上述等式应该能帮助您直观地理解 YTM 是如何运作的。,折价摊销 （Accretion） 和溢价摊销 （Amortization）（即在债券到期前，将债券价格向面值方向进行的调整），如上述等式所示，在 SIE 考试中并不考查，但您需要在某些进阶考试中学会计算它们。（**折价摊销**用于以低于面值的价格购买债券时，**溢价摊销**用于以高于面值的价格购买债券时。）上述等式应该能帮助您直观地理解 YTM 是如何运作的。,Punctuation/Format,术语对照表.md
227,N/A (Chinese Line),**赎回收益率 (YTC)** 是指如果债券在到期前被发行人赎回，投资者所获得的收益。赎回要求债券持有人交回债券以换取面值（有时高于面值）。计算方法与 YTM 类似（见前一节），但您需要将赎回价格替换为面值。在 SIE 考试中考到这个知识点的可能性，比考到 YTM 计算还要渺茫。,**赎回收益率 （YTC）** 是指如果债券在到期前被发行人赎回，投资者所获得的收益。赎回要求债券持有人交回债券以换取面值（有时高于面值）。计算方法与 YTM 类似（见前一节），但您需要将赎回价格替换为面值。在 SIE 考试中考到这个知识点的可能性，比考到 YTM 计算还要渺茫。,Punctuation/Format,术语对照表.md
233,N/A (Chinese Line),要确定**最差收益率 (YTW)**，您必须计算所有赎回日期（如果有一个以上）的到期收益率和 YTC，并选择其中最低的一个。如果您遇到关于 YTW 的问题，了解其定义应该就足够应付了。,要确定**最差收益率 （YTW）**，您必须计算所有赎回日期（如果有一个以上）的到期收益率和 YTC，并选择其中最低的一个。如果您遇到关于 YTW 的问题，了解其定义应该就足够应付了。,Punctuation/Format,术语对照表.md
239,N/A (Chinese Line),**总回报 (Total return)** 计算的是特定投资在给定时间段内的全部回报。与前面提到的其他收益率一样，您可能不需要计算它，但需要理解它。总回报为您提供了投资盈亏的百分比。要确定总回报，您需要遵循以下步骤：,**总回报 （Total return）** 计算的是特定投资在给定时间段内的全部回报。与前面提到的其他收益率一样，您可能不需要计算它，但需要理解它。总回报为您提供了投资盈亏的百分比。要确定总回报，您需要遵循以下步骤：,Punctuation/Format,术语对照表.md
241,N/A (Chinese Line),1.  Determine the initial cost of the investment. (确定投资的初始成本。),1.  Determine the initial cost of the investment. （确定投资的初始成本。）,Punctuation/Format,术语对照表.md
242,N/A (Chinese Line),2.  Calculate the total amount of interest or dividends received over the time of investment. (计算投资期间收到的利息或股息总额。),2.  Calculate the total amount of interest or dividends received over the time of investment. （计算投资期间收到的利息或股息总额。）,Punctuation/Format,术语对照表.md
243,N/A (Chinese Line),3.  Add the interest or dividends to the selling price. (将利息或股息加到售价中。),3.  Add the interest or dividends to the selling price. （将利息或股息加到售价中。）,Punctuation/Format,术语对照表.md
244,N/A (Chinese Line),4.  Divide that number by the initial cost of the investment and subtract 1. (将该数值除以投资的初始成本，然后减去 1。),4.  Divide that number by the initial cost of the investment and subtract 1. （将该数值除以投资的初始成本，然后减去 1。）,Punctuation/Format,术语对照表.md
250,N/A (Chinese Line),**基点 (Basis point)** 是比较简单的计算之一。基点通常用于债券市场、共同基金和交易所交易基金 (ETFs)。基点就是百分之一的百分之一（即 0.01%）。如果国债 (T-bond) 的收益率从 1.2% 下降到 1.1%，就说它变动了 10 个基点。此外，在比较基金费用时（见第 9 章），人们经常用基点来指代基金费用。如果您正在比较两个基金，一个基金的费用可能是 0.15%，另一个是 0.13%，差额为 0.02%，即 2 个基点。,**基点 （Basis point）** 是比较简单的计算之一。基点通常用于债券市场、共同基金和交易所交易基金 （ETFs）。基点就是百分之一的百分之一（即 0.01%）。如果国债 （T-bond） 的收益率从 1.2% 下降到 1.1%，就说它变动了 10 个基点。此外，在比较基金费用时（见第 9 章），人们经常用基点来指代基金费用。如果您正在比较两个基金，一个基金的费用可能是 0.15%，另一个是 0.13%，差额为 0.02%，即 2 个基点。,Punctuation/Format,术语对照表.md
256,N/A (Chinese Line),当投资者在市场上购买流通债券时，除了市场价格（当然还有您的佣金）之外，他们可能还需要支付一笔额外费用。这笔额外费用被称为**应计利息 (accrued interest)**。应计利息是指在两个付息日之间购买债券时，仍应支付给卖方的那部分利息。正如您可能记得的，大多数债券每六个月支付一次利息。如果一名投资者在 180 天的半年周期内持有债券 87 天（对于公司债和市政债），他们有权获得下次利息支付额的 87/180；这就是应计利息。,当投资者在市场上购买流通债券时，除了市场价格（当然还有您的佣金）之外，他们可能还需要支付一笔额外费用。这笔额外费用被称为**应计利息 （accrued interest）**。应计利息是指在两个付息日之间购买债券时，仍应支付给卖方的那部分利息。正如您可能记得的，大多数债券每六个月支付一次利息。如果一名投资者在 180 天的半年周期内持有债券 87 天（对于公司债和市政债），他们有权获得下次利息支付额的 87/180；这就是应计利息。,Punctuation/Format,术语对照表.md
275,N/A (Chinese Line),债券评级机构最感兴趣的是**违约 (default)** 的可能性（即利息和本金无法按时支付的可能性）。对于考试，您可以假设：信用评级越高，债券越安全，因此收益率越低。,债券评级机构最感兴趣的是**违约 （default）** 的可能性（即利息和本金无法按时支付的可能性）。对于考试，您可以假设：信用评级越高，债券越安全，因此收益率越低。,Punctuation/Format,术语对照表.md
278,N/A (Chinese Line),两家主要的债券信用评级公司是**穆迪 (Moody's)** 和**标准普尔 (S&P)**。标普评级在 **BB 及以下**、穆迪评级在 **Ba 及以下** 的债券被认为是**垃圾债券 (junk bonds)** 或**高收益债券 (high-yield bonds)**，如表 7-1 所示，这些债券发生违约的可能性较高。（另一家名为**惠誉 (Fitch)** 的评级机构使用与标普相同的评级符号。）注：不同的资料来源在标普和穆迪评级的对比上可能显示出细微的差异，但这里显示的关系是最通用的。,两家主要的债券信用评级公司是**穆迪 （Moody's）** 和**标准普尔 （S&P）**。标普评级在 **BB 及以下**、穆迪评级在 **Ba 及以下** 的债券被认为是**垃圾债券 （junk bonds）** 或**高收益债券 （high-yield bonds）**，如表 7-1 所示，这些债券发生违约的可能性较高。（另一家名为**惠誉 （Fitch）** 的评级机构使用与标普相同的评级符号。）注：不同的资料来源在标普和穆迪评级的对比上可能显示出细微的差异，但这里显示的关系是最通用的。,Punctuation/Format,术语对照表.md
283,N/A (Chinese Line),| Quality (质量) | S&P | Moody's |,| Quality （质量） | S&P | Moody's |,Punctuation/Format,术语对照表.md
285,N/A (Chinese Line),| **Highest (最高)** | AAA | Aaa |,| **Highest （最高）** | AAA | Aaa |,Punctuation/Format,术语对照表.md
286,N/A (Chinese Line),| **High (高)** | AA | Aa |,| **High （高）** | AA | Aa |,Punctuation/Format,术语对照表.md
287,N/A (Chinese Line),| **Upper medium (中上)** | A | A |,| **Upper medium （中上）** | A | A |,Punctuation/Format,术语对照表.md
288,N/A (Chinese Line),| **Lower medium (中下)** | BBB | Baa |,| **Lower medium （中下）** | BBB | Baa |,Punctuation/Format,术语对照表.md
289,N/A (Chinese Line),| **Speculative (junk) (投机级/垃圾)** | BB | Ba |,| **Speculative （junk） （投机级/垃圾）** | BB | Ba |,Punctuation/Format,术语对照表.md
290,N/A (Chinese Line),| **Speculative (junk): Interest or principal payments missed (投机级：已拖欠利息或本金)** | B | B |,| **Speculative （junk）： Interest or principal payments missed （投机级：已拖欠利息或本金）** | B | B |,Punctuation/Format,术语对照表.md
291,N/A (Chinese Line),| **Speculative (junk): No interest being paid (投机级：不支付利息)** | C | Caa |,| **Speculative （junk）： No interest being paid （投机级：不支付利息）** | C | Caa |,Punctuation/Format,术语对照表.md
292,N/A (Chinese Line),| **In default (违约中)** | D | D |,| **In default （违约中）** | D | D |,Punctuation/Format,术语对照表.md
295,N/A (Chinese Line),似乎这些类别还不够，标普还可以通过在字母类别后添加加号 (+) 或减号 (–) 来进一步细分每个类别。加号代表该类别的高端，减号代表该类别的低端。如果您没有看到加号或减号，则该债券处于该类别的中间位置。穆迪可以通过添加 1、2 或 3 来进一步细分。数字 1 是最高排名，2 代表中间，3 是最低。前四个评级被认为是**投资级 (investment grade)**（标普的 AAA、AA、A 和 BBB；穆迪的 Aaa、Aa、A 和 Baa），在此之下的字母评级被认为是垃圾债券或高收益债券。,似乎这些类别还不够，标普还可以通过在字母类别后添加加号 （+） 或减号 （–） 来进一步细分每个类别。加号代表该类别的高端，减号代表该类别的低端。如果您没有看到加号或减号，则该债券处于该类别的中间位置。穆迪可以通过添加 1、2 或 3 来进一步细分。数字 1 是最高排名，2 代表中间，3 是最低。前四个评级被认为是**投资级 （investment grade）**（标普的 AAA、AA、A 和 BBB；穆迪的 Aaa、Aa、A 和 Baa），在此之下的字母评级被认为是垃圾债券或高收益债券。,Punctuation/Format,术语对照表.md
300,N/A (Chinese Line),"标普 (S&P) 使用全大写字母（AAA, AA 等）。此外，S&P 的名字中间有一个 “&” 符号。把这个符号想象成一个加号，可以帮助您记住标普在其评级类别中使用了加号和减号。",标普 （S&P） 使用全大写字母（AAA， AA 等）。此外，S&P 的名字中间有一个 “&” 符号。把这个符号想象成一个加号，可以帮助您记住标普在其评级类别中使用了加号和减号。,Punctuation/Format,术语对照表.md
